# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# Card page | faction | plan | three partner pages with reasons. Authored from full front and signature cards.
1|C|A Human combat core with renewable energy, healing and long-range pressure.|2:Squire and My Hero directly boost a Noble's melee and energy.|34:Field Medic heals the Baron; Sage Advice protects nearby pistol users.|3:Shoot Musket supplies ranged pressure and benefits from Rallying Cry.
2|C|Support two hard hitters while a Soldier covers the approach.|1:A Noble receives Eric's larger Squire and My Hero bonuses; Rallying Cry refuels Eric.|36:A Soldier striker benefits from Squire, My Hero and Field Medic.|3:A Soldier gunner adds range and can receive Eric's healing and energy.
3|C|Build a supported Human firing line with an armoured counterattacker.|4:Foresight raises Flintlock's Arcane for Shoot Musket and Healing repairs wounds.|1:Rallying Cry restores Flintlock's energy and the Baron supplies armoured melee.|34:Sage Advice covers the musket catastrophe; Field Medic heals Soldiers.
4|C|Spend Quack's turns improving shooters and healing a durable front line.|3:Foresight strengthens Shoot Musket; Flintlock can harvest without Quack's Weakling tax.|133:Foresight boosts Blunderbuss and Matilda converts support into mobile attacks.|1:Rallying Cry refuels Quack while the Baron provides armour and melee threat.
5|C|Feed a heavy melee attacker while another character secures stones.|6:Deutsche Courage rewards this Mercenary's attacks; Drink Your Fill can add melee or energy.|4:Healing sustains Fritz and Blinding Powder weakens opponents before he attacks.|12:Miner handles deep stones while Fritz fights; Shove helps clear the approach.
6|C|Use energy and melee support on two attackers, with reliable healing nearby.|5:A Mercenary benefits from Deutsche Courage and Drink Your Fill's melee bonus.|36:A Soldier charge attacker can use Agatha's attack-triggered energy.|7:Healing keeps the attackers healthy; Rub It Better can also heal friendly Humans.
7|C|Anchor a durable Human group with energy, ranged damage and arcane support.|1:Rallying Cry restores the Friar's energy; the Baron adds armoured slicing damage.|4:Foresight boosts the Friar's Healing and Quack's Cleric keyword benefits from Rub It Better.|3:Shoot Musket adds reach while the Friar sustains the Human gunner.
8|C|Keep a compact Gnome group around Mama, with shooting, harvesting and melee.|9:Luck Charms improves both crossbow Arcane and melee; Quarrel helps defend Mama.|12:Miner secures stones while Mama's buffs and Mother's Love support Morris.|11:Ancestral Sword adds melee threat and a nearby Gnome contributes to My Boys.
9|C|Exploit Militia buffs without losing healing or a dedicated harvester.|8:Luck Charms raises crossbow Arcane; Mother's Love heals and repositions Quarrel.|11:Brothers in Arms boosts this Militia swordsman; Lucky can support deck planning.|12:Brothers in Arms also targets Morris, whose Miner handles deep stones.
10|C|Combine Billy's mobility with Gnome support and a slower objective anchor.|8:Luck Charms and Mother's Love strengthen and sustain Billy.|9:Brothers in Arms boosts Billy's Militia stats while crossbow fire covers his advance.|12:Miner secures deep stones while Billy charges or reaches scattered objectives.
11|C|Use a supported Gnome fighter alongside a shooter and a specialist harvester.|8:Luck Charms improves Young Jack; Mother's Love repairs his wounds.|9:Brothers in Arms boosts Young Jack's Militia stats and adds long-range shooting.|12:Miner handles stones efficiently so Young Jack can spend energy fighting.
12|C|Support Morris's harvesting with shooting, healing and a mobile defender.|8:Luck Charms improves Morris and Mother's Love heals or repositions him.|9:Brothers in Arms raises Morris's Militia stats; crossbow fire covers the harvester.|10:Billy supplies a mobile melee threat while Morris handles deep stones.
13|C|Use Sage Advice to support risky Gnome actions and keep harvesting covered.|9:Sage Advice prevents Shoot Crossbow's catastrophe from disabling Reload nearby.|11:Sage Advice protects Magic Brew; Young Jack supplies stronger melee.|8:Luck Charms raises Gradock's stats and Mama provides healing.
14|D|Keep Firespitter behind a Goblin fighter and a capable harvester, with arcane support.|18:Transconbobulate restores Firespitter's wounds and energy; Goblin Mischief refuels Goblins.|16:Vicious Syd threatens enemies trying to engage and disable Fireblast.|15:Digger handles stones and Doug can fight while Firespitter stays at range.
15|D|Support Doug's harvesting and charges with Goblin energy and healing.|18:Transconbobulate restores and relocates Doug; Goblin Mischief supports his energy.|20:Suckerpunch boosts Doug's next melee hit and the lure brings enemies into reach.|17:Healing repairs Doug; keep allies clear of his Foul Gases pulse.
16|D|Keep Syd near a Giant and support his armour-piercing melee with healing and harvesting.|28:Gotchgut enables Lard Lover; Giant Whisperer can reposition the Giant.|18:Transconbobulate restores Syd and puts him back into the fight.|15:Digger handles objectives while Syd spends energy on melee.
17|D|Use Bobby as the healer behind a Giant-supported Goblin attack group.|16:Healing sustains Syd's small health track while his armour protects the front line.|28:Gotchgut activates Syd's Lard Lover and supplies a durable melee presence.|15:Digger adds efficient harvesting; Bobby can heal Doug without entering the gas pulse.
18|D|Choose Goblins that convert restoration and extra energy into damage and stones.|14:Goblin Mischief funds Fireblast; Transconbobulate restores and repositions the gunner.|16:Transconbobulate resets Syd's wounds and energy for continued melee pressure.|15:Doug benefits from Goblin support and Digger secures deeper stones.
